|Unnamed: 0|texto|fecha|incompleto|cuenta|cluster
0|1|rt @vp: under @potus, america stands with israel. discussed w/ @thebrodyfile that we'll deliver that message in israel later this month &amp; t…|12-03-2017 16:58:08||2potus|1
1|2|rt @realdonaldtrump: report: “anti-trump fbi agent led clinton email probe”  now it all starts to make sense!|12-03-2017 16:56:10||2potus|3
2|3|rt @realdonaldtrump: people who lost money when the stock market went down 350 points based on the false and dishonest reporting of brian r…|12-03-2017 16:55:52||2potus|3
3|4|rt @realdonaldtrump: after years of comey, with the phony and dishonest clinton investigation (and more), running the fbi, its reputation i…|12-03-2017 16:55:51||2potus|3
4|5|rt @realdonaldtrump: i never asked comey to stop investigating flynn. just more fake news covering another comey lie!|12-03-2017 16:55:38||2potus|9
5|6|rt @realdonaldtrump: many people in our country are asking what the “justice” department is going to do about the fact that totally crooked…|12-03-2017 16:55:35||2potus|3
6|7|rt @realdonaldtrump: so general flynn lies to the fbi and his life is destroyed, while crooked hillary clinton, on that now famous fbi holi…|12-03-2017 16:55:34||2potus|3
7|8|rt @realdonaldtrump: 62 years ago this week, a brave seamstress in montgomery, alabama uttered one word that changed history... |12-02-2017 21:11:51|...|2potus|3
8|9|rt @realdonaldtrump: we are one step closer to delivering massive tax cuts for working families across america. special thanks to @senatema…|12-02-2017 07:49:24||2potus|7
9|10|rt @vp: honored to preside during tonight's historic tax cut vote in the u.s. senate... |12-02-2017 07:44:03|...|2potus|7
10|11|rt @scavino45: .@vp mike pence’s roll call vote on historic tax cuts at 1:36ame on capitol hill in washington, d.c. a great week concludes…|12-02-2017 07:43:56||2potus|7
11|12|rt @vp: tonight’s tax cut vote in the senate was a historic victory for the american people. grateful for the support of @senategop for pas…|12-02-2017 07:43:43||2potus|7
12|13|rt @realdonaldtrump: economists on the tax cuts and jobs act:“the enactment of a comprehensive overhaul - complete with a lower corporate…|12-01-2017 21:52:06||2potus|7
13|14|rt @secretarysonny: telling @danspindle from @abc15 in phoenix that agriculture will benefit tremendously from tax cuts and reforms. most f…|12-01-2017 21:33:51||2potus|7
14|15|thank you @secretaryzinke! |12-01-2017 21:32:52||2potus|3
15|16|rt @scavino45: did you miss @potus @realdonaldtrump &amp; @flotus melania light the national christmas tree🎄last night? we’ve got you covered v…|12-01-2017 21:31:52||2potus|6
16|17|rt @presssec: the trump effect: “the u.s. economy is running at its full potential for the first time in a decade” -wsj|12-01-2017 21:31:37||2potus|3
17|18|rt @gopleader: our government should and always put the safety of the american people first. the senate should follow our lead and pass #ka…|12-01-2017 21:31:23||2potus|3
18|19|rt @secondlady: as the honorary vice chairwoman for @sistercitiesint, i hosted the sister city delegates from frejus, france @vp residence.…|12-01-2017 21:28:41||2potus|3
19|20|rt @realdonaldtrump: the media has been speculating that i fired rex tillerson or that he would be leaving soon - fake news! he’s not leavi…|12-01-2017 20:10:55||2potus|9
20|21|rt @whitehouse: president trump proclaims today as #worldaidsday: |12-01-2017 18:14:08||2potus|0
21|22|rt @realdonaldtrump: today is a day that i’ve been looking very much forward to all year long. it is one that you have heard me speak about…|12-01-2017 01:01:14||2potus|3
22|23|rt @scavino45: .@potus @realdonaldtrump and @flotus melania countdown for the lighting of the #nationalchristmastree at the @whitehouse.#…|12-01-2017 01:01:09||2potus|6
23|24|rt @realdonaldtrump: our fifth 1k milestone of 2017!#dow24k #maga |11-30-2017 21:51:53||2potus|3
24|25|rt @realdonaldtrump: thank you @senorrinhatch. let’s continue making america great again! |11-30-2017 19:28:58||2potus|3
25|26|rt @realdonaldtrump: now, we have a once in a lifetime opportunity to restore american prosperity – and reclaim america’s destiny.but in…|11-30-2017 00:48:13||2potus|3
